sample index,Battery voltage (V),Motor1 PWM,Motor2 PWM,Motor3 PWM,Motor4 PWM
,3.557771,42206,46416,40953,47243
,3.552493,43495,46358,39539,46887
,3.541935,41298,46164,41866,46298
,3.552493,42784,46836,41309,47333
,3.547214,41678,45970,40823,46671
,3.547214,47941,39843,46390,40704
,3.541935,37701,50284,35455,48459
,3.541935,48664,41200,45506,40979
,3.547214,41838,48024,39865,47326
,3.552493,41187,47901,39073,47920
,3.916716,0,0,0,0
,3.916716,0,0,0,0
,3.916716,0,0,0,0
,3.916716,0,0,0,0
,3.921994,0,0,0,0
,3.615836,0,0,0,0
,3.626393,43545,43482,35238,44644
,3.573607,40876,45712,36660,41691
,3.589443,44248,44173,42190,48612
,3.573607,42845,46173,39980,45285
,3.573607,42256,46859,43301,46105
,3.568329,41735,46557,40989,45919
,3.568329,42011,47132,39428,47314
,3.557771,41816,47259,39156,47937
,3.557771,37627,49277,35372,50550
,3.557771,37093,49347,35974,48999
,3.547214,41634,47220,37784,46844
,3.547214,42036,47084,40309,48029
,3.541935,43811,45598,38244,48122
,3.536657,42301,47325,40593,47249
,3.536657,40152,49817,42022,46129
,3.536657,42878,46987,40305,48107
,3.531378,39715,49284,36883,49752
,3.531378,38923,49562,36013,49175
,3.536657,38526,49059,36718,49253
,3.5261,42461,46657,40740,47320
,3.531378,42149,47190,40984,48259
,3.536657,42036,47055,40474,47611
,3.5261,41509,46930,40482,47024
,3.5261,41488,47359,40833,47660
,3.520821,42484,47426,39974,47603
,3.5261,38657,50040,36971,49809
,3.510264,49751,38126,47091,38375
,3.515543,48890,39570,48664,38471
,3.510264,42127,47149,41317,47726
,3.520821,41546,48644,40186,48172
,3.515543,41414,47703,39411,47973
,3.510264,42803,47805,40342,47644
,3.510264,43819,48401,40516,47186
,3.510264,42035,48360,40557,47677
,3.510264,39719,50869,35652,48004
,3.510264,38600,50265,36923,48868
,3.504985,41481,48259,42255,46867
,3.504985,41509,47491,42062,48233
,3.504985,42806,48040,40242,48041
,3.885044,0,0,0,0
,3.885044,0,0,0,0
,3.885044,0,0,0,0
,3.885044,0,0,0,0
,3.885044,0,0,0,0
,3.594722,0,0,0,0
,3.6,41205,43668,37516,44857
,3.547214,38917,44770,40622,46185
,3.56305,43040,48310,41239,46781
,3.541935,40966,45205,39788,46131
,3.541935,41910,47426,41294,47173
,3.541935,42471,46954,41968,46113
,3.531378,43706,46798,40106,46510
,3.5261,42284,45993,41667,47477
,3.520821,48635,40604,46331,41878
,3.5261,38854,49050,38045,49891
,3.520821,42946,44718,40884,47710
,3.504985,42852,46260,42135,46715
,3.510264,42568,47478,43506,46238
,3.499707,42820,47116,42454,47265
,3.510264,43226,47373,40319,48732
,3.510264,42834,47155,41599,47979
,3.499707,39397,49244,38954,49816
,3.510264,40217,48981,37285,50187
,3.510264,38463,49187,35683,49391
,3.494428,46236,44264,42788,43180
,3.499707,44236,46724,41266,47749
,3.494428,44263,47137,40896,47237
,3.48915,43851,46514,43385,45547
,3.494428,43088,47034,43761,45954
,3.494428,43078,46525,42849,46308
,3.483871,40184,49254,39080,48223
,3.48915,41872,49710,39717,47741
,3.48915,41112,49439,38347,47436
,3.478592,44862,46248,42248,47093
,3.478592,44550,47264,42271,47001
,3.483871,44277,46582,43651,47562
,3.478592,42649,47797,42337,47515
,3.473314,41936,47774,42047,48632
,3.473314,41598,47969,42164,49172
,3.483871,38272,50453,38022,50340
,3.478592,38623,49238,37852,49629
,3.473314,44133,46688,40361,47412
,3.478592,43688,47426,42690,47811
,3.478592,43968,48642,41126,46872
,3.869208,0,0,0,0
,3.874487,0,0,0,0
,3.541935,37630,37290,37227,37646
,3.552493,46525,42407,37536,48943
,3.5261,40282,47088,41400,44188
,3.5261,43173,47227,42147,47141
,3.510264,42658,47203,41181,47303
,3.510264,43629,47928,43047,48400
,3.504985,43408,47658,41339,47480
,3.510264,43473,47001,41347,48172
,3.499707,42366,47120,41893,47313
,3.494428,39519,49689,38105,49891
,3.494428,40681,49435,37663,49524
,3.478592,44042,46559,41279,47206
,3.48915,44233,47909,43362,48488
,3.483871,44492,47133,41252,48054
,3.483871,43637,47761,42200,47236
,3.473314,44240,47381,43277,46551
,3.473314,44163,47314,42910,48145
,3.473314,40756,49881,39735,49831
,3.462757,40814,48658,37886,50246
,3.468035,41320,49292,38567,49892
,3.468035,43683,47374,42719,47648
,3.468035,44635,47243,42068,47859
,3.462757,44123,48006,41523,47478
,3.457478,42381,47619,42844,48013
,3.462757,44883,47146,41948,48539
,3.446921,43533,47445,42543,48459
,3.452199,51043,39756,49611,40878
,3.446921,51033,38415,50216,37892
,3.452199,49320,42466,48511,42439
,3.452199,44224,47933,42617,47538
,3.446921,44377,48300,42045,47165
,3.446921,44464,48039,42128,47793
,3.441642,45035,47579,41851,48362
,3.446921,45570,47946,42603,47801
,3.441642,41810,50023,38748,49744
,3.436364,40977,50454,38113,49493
,3.441642,42052,50261,38228,49691
,3.436364,44263,47907,42733,47658
,3.457478,44715,47915,42195,48355
,3.452199,43171,47098,41078,46709
