Date,Time,Battery voltage (V),Motor1 PWM,Motor2 PWM,Motor3 PWM,Motor4 PWM
6/5/2023, 23:16:02.552352,3.731965,0,0,0,0
6/5/2023, 23:16:03.552030,3.731965,40114,40516,37277,42906
6/5/2023, 23:16:03.559774,3.679179,34293,42021,40623,43646
6/5/2023, 23:16:04.587540,3.689736,42195,45179,43060,46841
6/5/2023, 23:16:04.553042,3.6739,41972,44343,39879,44499
6/5/2023, 23:16:05.552264,3.6739,42665,45464,41118,45633
6/5/2023, 23:16:05.552636,3.6739,42302,45052,40063,45024
6/5/2023, 23:16:06.564252,3.668622,40417,45332,40737,45367
6/5/2023, 23:16:06.585090,3.658065,41110,45201,40440,45934
6/5/2023, 23:16:07.553492,3.652786,45809,40148,44787,41011
6/5/2023, 23:16:07.540478,3.658065,38772,47868,36002,47972
6/5/2023, 23:16:08.552708,3.642229,38183,46787,35248,47522
6/5/2023, 23:16:08.585734,3.652786,42629,45848,40657,46125
6/5/2023, 23:16:09.587296,3.647507,41619,45168,39922,45567
6/5/2023, 23:16:09.583702,3.647507,41173,45399,40339,45511
6/5/2023, 23:16:10.643370,3.631672,40881,45417,40400,45291
6/5/2023, 23:16:10.554278,3.631672,42109,45547,40877,46404
6/5/2023, 23:16:11.518262,3.631672,41506,46074,40925,45302
6/5/2023, 23:16:11.519068,3.631672,49734,37870,45225,37035
6/5/2023, 23:16:12.518916,3.631672,48706,35927,47064,36849
6/5/2023, 23:16:12.554540,3.615836,42105,45623,39441,45541
6/5/2023, 23:16:13.518320,3.615836,42379,46084,40292,46966
6/5/2023, 23:16:13.521590,3.621114,41173,46290,40620,46572
6/5/2023, 23:16:14.520170,3.621114,41079,46352,40287,45311
6/5/2023, 23:16:14.521406,3.615836,41664,45679,39518,45771
6/5/2023, 23:16:15.523570,3.610557,42019,45182,40387,46396
6/5/2023, 23:16:15.525534,3.615836,39689,47917,36431,48508
6/5/2023, 23:16:16.527190,3.605279,38513,47039,35239,48043
6/5/2023, 23:16:16.520950,3.605279,39077,47903,36779,48294
6/5/2023, 23:16:17.528726,3.6,42222,45828,40688,45480
6/5/2023, 23:16:17.518636,3.605279,42798,46391,40072,46527
6/5/2023, 23:16:18.530210,3.594722,42490,45758,39194,46317
6/5/2023, 23:16:18.551298,3.6,42601,46040,41060,45677
6/5/2023, 23:16:19.553510,3.6,43018,45510,40445,45614
6/5/2023, 23:16:19.516756,3.594722,41420,44885,41055,45934
6/5/2023, 23:16:20.566246,3.594722,38590,48692,36109,48297
6/5/2023, 23:16:20.518948,3.594722,39129,48227,35547,48139
6/5/2023, 23:16:21.591748,3.589443,40339,46089,39664,45910
6/5/2023, 23:16:21.515904,3.584164,41597,46848,40228,47138
6/5/2023, 23:16:22.552622,3.6,41419,47754,39835,46948
6/5/2023, 23:17:48.282098,3.97478,0,0,0,0
6/5/2023, 23:17:49.283686,3.969502,0,0,0,0
6/5/2023, 23:17:49.326250,3.969502,0,0,0,0
6/5/2023, 23:17:50.348818,3.97478,0,0,0,0
6/5/2023, 23:17:50.465838,3.969502,0,0,0,0
6/5/2023, 23:17:51.330474,3.6739,0,0,0,0
6/5/2023, 23:17:51.370910,3.6739,43386,39866,35267,44455
6/5/2023, 23:17:52.315488,3.626393,37351,41105,40323,45722
6/5/2023, 23:17:52.372096,3.642229,43067,47660,42081,45731
6/5/2023, 23:17:53.373370,3.615836,41730,44699,39832,45672
6/5/2023, 23:17:53.349906,3.631672,42838,46222,41520,47041
6/5/2023, 23:17:54.407876,3.615836,41368,46041,39993,45499
6/5/2023, 23:17:54.287756,3.621114,40969,45976,41665,46688
6/5/2023, 23:17:55.283180,3.6,41741,45266,39433,46124
6/5/2023, 23:17:55.281380,3.605279,38468,48933,37825,48790
6/5/2023, 23:17:56.317228,3.594722,48863,35345,48521,37242
6/5/2023, 23:17:56.381854,3.594722,38985,47918,38012,48856
6/5/2023, 23:17:57.282154,3.594722,42577,45869,41318,46140
6/5/2023, 23:17:57.322394,3.594722,42442,46408,40535,46014
6/5/2023, 23:17:58.291166,3.594722,42680,46704,40605,45491
6/5/2023, 23:17:58.323672,3.584164,41630,45763,40698,45819
6/5/2023, 23:17:59.281402,3.589443,42714,45981,40865,46861
6/5/2023, 23:17:59.290792,3.578886,41129,45463,41117,46191
6/5/2023, 23:18:00.346764,3.578886,38814,47968,37392,48906
6/5/2023, 23:18:00.413738,3.584164,39066,47870,36610,48159
6/5/2023, 23:18:01.283176,3.56305,42411,45050,39975,46025
6/5/2023, 23:18:01.317696,3.573607,43120,46886,41407,46972
6/5/2023, 23:18:02.347358,3.573607,42025,46263,40259,47160
6/5/2023, 23:18:02.283680,3.568329,40809,47146,41161,46108
6/5/2023, 23:18:03.281408,3.56305,42490,46435,40104,47116
6/5/2023, 23:18:03.281176,3.557771,41804,46474,40691,47314
6/5/2023, 23:18:04.348028,3.557771,46054,42622,44399,43856
6/5/2023, 23:18:04.326796,3.552493,38434,48643,37585,49230
6/5/2023, 23:18:05.283706,3.552493,39067,49532,37010,48615
6/5/2023, 23:18:05.314972,3.552493,42867,46549,41010,46859
6/5/2023, 23:18:06.282224,3.557771,42206,46416,40953,47243
6/5/2023, 23:18:06.246752,3.552493,43495,46358,39539,46887
6/5/2023, 23:18:07.275362,3.541935,41298,46164,41866,46298
6/5/2023, 23:18:07.258334,3.552493,42784,46836,41309,47333
6/5/2023, 23:18:08.319512,3.547214,41678,45970,40823,46671
6/5/2023, 23:18:08.289198,3.547214,47941,39843,46390,40704
6/5/2023, 23:18:09.289716,3.541935,37701,50284,35455,48459
6/5/2023, 23:18:09.321488,3.541935,48664,41200,45506,40979
6/5/2023, 23:18:10.290850,3.547214,41838,48024,39865,47326
6/5/2023, 23:18:10.361122,3.552493,41187,47901,39073,47920
6/5/2023, 23:18:20.447926,3.916716,0,0,0,0
6/5/2023, 23:18:21.515558,3.916716,0,0,0,0
6/5/2023, 23:18:21.631014,3.916716,0,0,0,0
6/5/2023, 23:18:22.523834,3.916716,0,0,0,0
6/5/2023, 23:18:22.485882,3.921994,0,0,0,0
6/5/2023, 23:18:23.485392,3.615836,0,0,0,0
6/5/2023, 23:18:23.972422,3.626393,43545,43482,35238,44644
6/5/2023, 23:18:24.515104,3.573607,40876,45712,36660,41691
6/5/2023, 23:18:24.482380,3.589443,44248,44173,42190,48612
6/5/2023, 23:18:25.514582,3.573607,42845,46173,39980,45285
6/5/2023, 23:18:25.467952,3.573607,42256,46859,43301,46105
6/5/2023, 23:18:26.445820,3.568329,41735,46557,40989,45919
6/5/2023, 23:18:26.450570,3.568329,42011,47132,39428,47314
6/5/2023, 23:18:27.445928,3.557771,41816,47259,39156,47937
6/5/2023, 23:18:27.514586,3.557771,37627,49277,35372,50550
6/5/2023, 23:18:28.513954,3.557771,37093,49347,35974,48999
6/5/2023, 23:18:28.558280,3.547214,41634,47220,37784,46844
6/5/2023, 23:18:29.456376,3.547214,42036,47084,40309,48029
6/5/2023, 23:18:29.447010,3.541935,43811,45598,38244,48122
6/5/2023, 23:18:30.446948,3.536657,42301,47325,40593,47249
6/5/2023, 23:18:30.443502,3.536657,40152,49817,42022,46129
6/5/2023, 23:18:31.446162,3.536657,42878,46987,40305,48107
6/5/2023, 23:18:31.481178,3.531378,39715,49284,36883,49752
6/5/2023, 23:18:32.449008,3.531378,38923,49562,36013,49175
6/5/2023, 23:18:32.436286,3.536657,38526,49059,36718,49253
6/5/2023, 23:18:33.452646,3.5261,42461,46657,40740,47320
6/5/2023, 23:18:33.525432,3.531378,42149,47190,40984,48259
6/5/2023, 23:18:34.561370,3.536657,42036,47055,40474,47611
6/5/2023, 23:18:34.486760,3.5261,41509,46930,40482,47024
6/5/2023, 23:18:35.513634,3.5261,41488,47359,40833,47660
6/5/2023, 23:18:35.443852,3.520821,42484,47426,39974,47603
6/5/2023, 23:18:36.491226,3.5261,38657,50040,36971,49809
6/5/2023, 23:18:36.482366,3.510264,49751,38126,47091,38375
6/5/2023, 23:18:37.486684,3.515543,48890,39570,48664,38471
6/5/2023, 23:18:37.692226,3.510264,42127,47149,41317,47726
6/5/2023, 23:18:38.456156,3.520821,41546,48644,40186,48172
6/5/2023, 23:18:38.415160,3.515543,41414,47703,39411,47973
6/5/2023, 23:18:39.450320,3.510264,42803,47805,40342,47644
6/5/2023, 23:18:39.460542,3.510264,43819,48401,40516,47186
6/5/2023, 23:18:40.413984,3.510264,42035,48360,40557,47677
6/5/2023, 23:18:40.481090,3.510264,39719,50869,35652,48004
6/5/2023, 23:18:41.532950,3.510264,38600,50265,36923,48868
6/5/2023, 23:18:41.413764,3.504985,41481,48259,42255,46867
6/5/2023, 23:18:42.448072,3.504985,41509,47491,42062,48233
6/5/2023, 23:18:42.487168,3.504985,42806,48040,40242,48041
6/5/2023, 23:18:54.745844,3.885044,0,0,0,0
6/5/2023, 23:18:54.744304,3.885044,0,0,0,0
6/5/2023, 23:18:55.765464,3.885044,0,0,0,0
6/5/2023, 23:18:55.781584,3.885044,0,0,0,0
6/5/2023, 23:18:56.812252,3.885044,0,0,0,0
6/5/2023, 23:18:56.744698,3.594722,0,0,0,0
6/5/2023, 23:18:57.790756,3.6,41205,43668,37516,44857
6/5/2023, 23:18:58.031546,3.547214,38917,44770,40622,46185
6/5/2023, 23:18:58.722290,3.56305,43040,48310,41239,46781
6/5/2023, 23:18:58.718374,3.541935,40966,45205,39788,46131
6/5/2023, 23:18:59.747088,3.541935,41910,47426,41294,47173
6/5/2023, 23:18:59.747798,3.541935,42471,46954,41968,46113
6/5/2023, 23:19:00.748296,3.531378,43706,46798,40106,46510
6/5/2023, 23:19:00.793596,3.5261,42284,45993,41667,47477
6/5/2023, 23:19:01.732248,3.520821,48635,40604,46331,41878
6/5/2023, 23:19:01.979440,3.5261,38854,49050,38045,49891
6/5/2023, 23:19:02.779410,3.520821,42946,44718,40884,47710
6/5/2023, 23:19:02.781754,3.504985,42852,46260,42135,46715
6/5/2023, 23:19:03.779724,3.510264,42568,47478,43506,46238
6/5/2023, 23:19:03.747602,3.499707,42820,47116,42454,47265
6/5/2023, 23:19:04.781138,3.510264,43226,47373,40319,48732
6/5/2023, 23:19:04.817002,3.510264,42834,47155,41599,47979
6/5/2023, 23:19:05.845046,3.499707,39397,49244,38954,49816
6/5/2023, 23:19:05.846630,3.510264,40217,48981,37285,50187
6/5/2023, 23:19:06.823372,3.510264,38463,49187,35683,49391
6/5/2023, 23:19:06.778042,3.494428,46236,44264,42788,43180
6/5/2023, 23:19:07.712278,3.499707,44236,46724,41266,47749
6/5/2023, 23:19:07.765920,3.494428,44263,47137,40896,47237
6/5/2023, 23:19:08.772304,3.48915,43851,46514,43385,45547
6/5/2023, 23:19:08.712898,3.494428,43088,47034,43761,45954
6/5/2023, 23:19:09.713402,3.494428,43078,46525,42849,46308
6/5/2023, 23:19:09.722224,3.483871,40184,49254,39080,48223
6/5/2023, 23:19:10.750592,3.48915,41872,49710,39717,47741
6/5/2023, 23:19:10.715176,3.48915,41112,49439,38347,47436
6/5/2023, 23:19:11.781640,3.478592,44862,46248,42248,47093
6/5/2023, 23:19:11.785542,3.478592,44550,47264,42271,47001
6/5/2023, 23:19:12.712822,3.483871,44277,46582,43651,47562
6/5/2023, 23:19:12.780016,3.478592,42649,47797,42337,47515
6/5/2023, 23:19:13.732768,3.473314,41936,47774,42047,48632
6/5/2023, 23:19:13.713172,3.473314,41598,47969,42164,49172
6/5/2023, 23:19:14.712482,3.483871,38272,50453,38022,50340
6/5/2023, 23:19:14.744876,3.478592,38623,49238,37852,49629
6/5/2023, 23:19:15.738118,3.473314,44133,46688,40361,47412
6/5/2023, 23:19:15.712540,3.478592,43688,47426,42690,47811
6/5/2023, 23:19:16.712106,3.478592,43968,48642,41126,46872
6/5/2023, 23:20:58.616124,3.869208,0,0,0,0
6/5/2023, 23:20:59.752708,3.874487,0,0,0,0
6/5/2023, 23:20:59.611488,3.541935,37630,37290,37227,37646
6/5/2023, 23:21:00.608562,3.552493,46525,42407,37536,48943
6/5/2023, 23:21:00.602346,3.5261,40282,47088,41400,44188
6/5/2023, 23:21:01.677048,3.5261,43173,47227,42147,47141
6/5/2023, 23:21:01.642502,3.510264,42658,47203,41181,47303
6/5/2023, 23:21:02.709300,3.510264,43629,47928,43047,48400
6/5/2023, 23:21:02.601752,3.504985,43408,47658,41339,47480
6/5/2023, 23:21:03.642706,3.510264,43473,47001,41347,48172
6/5/2023, 23:21:03.742552,3.499707,42366,47120,41893,47313
6/5/2023, 23:21:04.603942,3.494428,39519,49689,38105,49891
6/5/2023, 23:21:04.646204,3.494428,40681,49435,37663,49524
6/5/2023, 23:21:05.685784,3.478592,44042,46559,41279,47206
6/5/2023, 23:21:05.719710,3.48915,44233,47909,43362,48488
6/5/2023, 23:21:06.611528,3.483871,44492,47133,41252,48054
6/5/2023, 23:21:06.609360,3.483871,43637,47761,42200,47236
6/5/2023, 23:21:07.610270,3.473314,44240,47381,43277,46551
